speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	context	word	filename	status
KFN	u	u	0.219	4750	---	442	716	1631	4.45	6.66	11.55	7.010	---	Ugot 	KFN_1967_Language_flk	Auto
KFN	o	o	0.232	4950	---	473	1044	1717	4.73	8.77	11.89	7.314	---	Ugot 	KFN_1967_Language_flk	Auto
KFN	u	u	0.130	4750	---	419	656	1465	4.25	6.21	10.86	8.568	---	qudnan 	KFN_1967_Language_flk	Auto
KFN	a	a	0.093	5250	---	626	1366	2354	5.98	10.42	13.99	8.946	---	qudnan 	KFN_1967_Language_flk	Auto
KFN	o	o	0.243	4950	---	495	739	1590	4.92	6.83	11.39	9.651	---	oqqur 	KFN_1967_Language_flk	Auto
KFN	u	u	0.092	4750	---	503	1428	2258	4.98	10.70	13.71	10.002	---	oqqur 	KFN_1967_Language_flk	Auto
KFN	ö	ö	0.230	5550	---	478	1430	2448	4.77	10.71	14.25	10.582	---	öǯ 	KFN_1967_Language_flk	Auto
KFN	e:	e	0.163	5550	---	466	1890	2185	4.67	12.52	13.49	10.945	---	öǯ 	KFN_1967_Language_flk	Auto
KFN	u	u	0.064	4750	---	410	801	1413	4.16	7.25	10.63	11.271	---	eːkumba. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.239	5250	---	807	1430	1953	7.30	10.71	12.74	11.508	---	eːkumba. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.100	5250	---	546	991	1527	5.35	8.46	11.13	13.662	---	Patom 	KFN_1967_Language_flk	Auto
KFN	ə	ə	0.074	5250	---	539	1052	2032	5.28	8.81	13.00	13.868	---	Patom 	KFN_1967_Language_flk	Auto
KFN	ɨ	ɨ	0.205	5250	---	525	1108	1338	5.17	9.12	10.29	14.417	---	tabɨt, 	KFN_1967_Language_flk	Auto
KFN	o	o	0.153	4950	---	458	1338	1988	4.60	10.29	12.86	14.913	---	koček 	KFN_1967_Language_flk	Auto
KFN	e	e	0.070	5550	---	467	1158	2265	4.68	9.38	13.73	15.145	---	koček 	KFN_1967_Language_flk	Auto
KFN	u	u	0.159	4750	---	378	744	2126	3.87	6.86	13.30	15.312	---	qut, 	KFN_1967_Language_flk	Auto
KFN	a	a	0.093	5250	---	694	1150	2293	6.50	9.35	13.81	15.756	---	taqqɨlɨmbat – 	KFN_1967_Language_flk	Auto
KFN	ɨ	ɨ	0.053	5250	---	517	822	1774	5.11	7.40	12.10	15.955	---	taqqɨlɨmbat – 	KFN_1967_Language_flk	Auto
KFN	ɨ	ɨ	0.033	5250	---	496	826	1284	4.93	7.41	9.89	16.110	---	taqqɨlɨmbat – 	KFN_1967_Language_flk	Auto
KFN	a	a	0.153	5250	---	609	1391	2542	5.85	10.53	14.51	16.362	---	taqqɨlɨmbat – 	KFN_1967_Language_flk	Auto
KFN	o	o	0.065	4950	---	617	946	1750	5.91	8.19	12.01	17.667	---	Nomn 	KFN_1967_Language_flk	Auto
KFN	e	e	0.119	5550	---	423	1326	1897	4.28	10.22	12.55	18.038	---	enne 	KFN_1967_Language_flk	Auto
KFN	e	e	0.335	5550	---	507	1871	2605	5.02	12.46	14.68	18.280	---	enne 	KFN_1967_Language_flk	Auto
KFN	e	e	0.062	5550	---	468	1799	2805	4.69	12.19	15.18	19.401	---	medegu. 	KFN_1967_Language_flk	Auto
KFN	e	e	0.073	5550	---	421	1198	2241	4.26	9.60	13.66	19.546	---	medegu. 	KFN_1967_Language_flk	Auto
KFN	u	u	0.281	4750	---	375	813	1659	3.85	7.34	11.67	19.736	---	medegu. 	KFN_1967_Language_flk	Auto
KFN	o	o	0.131	4950	---	503	1511	1849	4.98	11.06	12.38	21.533	---	Pop 	KFN_1967_Language_flk	Auto
KFN	o	o	0.155	4950	---	487	1372	2277	4.85	10.45	13.77	22.181	---	to 	KFN_1967_Language_flk	Auto
KFN	i	i	0.046	5750	---	440	1468	2580	4.43	10.88	14.61	22.336	---	to 	KFN_1967_Language_flk	Auto
KFN	ə	ə	0.172	5250	---	630	1313	2164	6.02	10.17	13.42	22.462	---	ille 	KFN_1967_Language_flk	Auto
